Season,Away,Home,Away Score,Home Score,Away Rosters,Home Rosters
2026,Memphis Grizzlies,Los Angeles Clippers,112,107,Lucas Williamson;Rayan Rupert;Jaren Jackson Jr.;Dariq Whitehead;Adama-Alpha Bal;Ja Morant;Santi Aldama;Jaylen Wells;Zach Edey;Cedric Coward;Tyler Burton;Walter Clayton;Lawson Lovering;Taylor Hendricks;Cam Spencer;Jock Landale;Ty Jerome;Kyle Anderson;Jahmai Mashack;Vince Williams Jr.;GG Jackson II;Kentavious Caldwell-Pope;Scotty Pippen Jr.;DeJon Jarreau;Javon Small;Olivier-Maxence Prosper;Christian Koloko;Charles Bassey;John Konchar;Brandon Clarke;Taj Gibson;PJ Hall,Kawhi Leonard;Ivica Zubac;Darius Garland;Bennedict Mathurin;Kris Dunn;John Collins;Derrick Jones Jr.;Jordan Miller;Brook Lopez;Bradley Beal;Kobe Sanders;Bogdan Bogdanović;Nicolas Batum;Isaiah Jackson;Chris Paul;Yanic Konan Niederhäuser;Cam Christie;Kobe Brown;Patrick Baldwin Jr.;TyTy Washington Jr.;Dalano Banton;Sean Pedulla;Norchad Omier;RayJ Dennis;Jahmyl Telfort
2026,Dallas Mavericks,Los Angeles Lakers,119,129,Anthony Davis;P.J. Washington;Naji Marshall;Max Christie;Brandon Williams;Klay Thompson;Daniel Gafford;Marvin Bagley III;Khris Middleton;Ryan Nembhard;John Poulakidas;D'Angelo Russell;Tyus Jones;Dereck Lively II;Caleb Martin;Dwight Powell;Moussa Cisse;Tyler Smith;Jaden Hardy;Jeremiah Robinson-Earl;AJ Johnson;Miles Kelly,Austin Reaves;LeBron James;Marcus Smart;Rui Hachimura;Deandre Ayton;Jake LaRavia;Luke Kennard;Gabe Vincent;Jaxson Hayes;Jarred Vanderbilt;Nick Smith Jr.;Maxi Kleber;Dalton Knecht;Bronny James;Drew Timme;Kobe Bufkin;Adou Thiero;Chris Mañon;Christian Koloko
2026,Boston Celtics,Minnesota Timberwolves,115,119,Derrick White;Jayson Tatum;Payton Pritchard;Neemias Queta;Sam Hauser;Anfernee Simons;Nikola Vučević;Baylor Scheierman;Jordan Walsh;Luka Garza;Josh Minott;Hugo González;Dalano Banton;Ron Harper Jr.;Chris Boucher;Xavier Tillman Sr.;John Tonje;Amari Williams;Charles Bassey;Max Shulga,Julius Randle;Jaden McDaniels;Rudy Gobert;Donte DiVincenzo;Ayo Dosunmu;Naz Reid;Kyle Anderson;Mike Conley;Bones Hyland;Jaylen Clark;Terrence Shannon Jr.;Rob Dillingham;Enrique Freeman;Zyon Pullin;Joan Beringer;Julian Phillips;Rocco Zikarsky;Joe Ingles;Leonard Miller;Johnny Juzang
2026,Toronto Raptors,Charlotte Hornets,111,118,Scottie Barnes;Immanuel Quickley;RJ Barrett;Jakob Poeltl;Jamal Shead;Collin Murray-Boyles;Sandro Mamukelashvili;Ja'Kobe Walter;Ochai Agbaji;Gradey Dick;A.J. Lawson;Jamison Battle;Markelle Fultz;Chucky Hepburn;Alijah Martin;Jonathan Mogbo;Trayce Jackson-Davis;Garrett Temple;Mo Bamba,Miles Bridges;Brandon Miller;LaMelo Ball;Moussa Diabaté;Sion James;Collin Sexton;Ryan Kalkbrenner;Grant Williams;Coby White;KJ Simpson;Josh Green;PJ Hall;Tidjane Salaün;Tre Mann;Liam McNeeley;Drew Peterson;Mason Plumlee;Pat Connaughton;Antonio Reeves;Xavier Tillman Sr.
2026,Chicago Bulls,Indiana Pacers,101,103,Nikola Vučević;Matas Buzelis;Coby White;Jaden Ivey;Anfernee Simons;Tre Jones;Isaac Okoro;Ayo Dosunmu;Collin Sexton;Guerschon Yabusele;Kevin Huerter;Leonard Miller;Mouhamadou Gueye;Nick Richards;Rob Dillingham;Jalen Smith;Patrick Williams;Zach Collins;Mac McClung;Yuki Kawamura;Dalen Terry;Jevon Carter;Julian Phillips;Lachlan Olbrich;Emanuel Miller;Trentyn Flowers;Noa Essengue,Bennedict Mathurin;Andrew Nembhard;Aaron Nesmith;Jarace Walker;Kobe Brown;Jalen Slawson;Ivica Zubac;Ben Sheppard;Jay Huff;Ethan Thompson;Micah Potter;Johnny Furphy;Quenton Jackson;Obi Toppin;Jeremiah Robinson-Earl;T.J. McConnell;Isaiah Jackson;Kam Jones;James Wiseman;Cody Martin;Garrison Mathews;Taelon Peter;RayJ Dennis;Mac McClung;Tony Bradley;Monte Morris
2026,Detroit Pistons,Miami Heat,138,135,Jalen Duren;Tobias Harris;Duncan Robinson;Ausar Thompson;Isaiah Stewart;Kevin Huerter;Daniss Jenkins;Ron Holland;Caris LeVert;Javonte Green;Jaden Ivey;Paul Reed;Marcus Sasser;Wendell Moore Jr.;Tolu Smith;Chaz Lanier;Colby Jones;Bobi Klintman;Isaac Jones,Tyler Herro;Andrew Wiggins;Norman Powell;Davion Mitchell;Jaime Jaquez Jr.;Pelle Larsson;Kel'el Ware;Kasparas Jakučionis;Nikola Jović;Simone Fontecchio;Dru Smith;Myron Gardner;Keshad Johnson;Jahmir Young;Vladislav Goldin;Trevor Keels
2026,Brooklyn Nets,Milwaukee Bucks,99,116,Tre Scott;Nic Claxton;Noah Clowney;Egor Dёmin;Terance Mann;Cam Thomas;Malachi Smith;Ziaire Williams;Nolan Traoré;Drake Powell;Danny Wolf;Ben Saraf;Chaney Johnson;Josh Minott;Tyrese Martin;Day'Ron Sharpe;Ochai Agbaji;Jalen Wilson;Tyson Etienne;E.J. Liddell;Grant Nelson,Ryan Rollins;A.J. Green;Giannis Antetokounmpo;Myles Turner;Ousmane Dieng;Kyle Kuzma;Cormac Ryan;Bobby Portis;Taurean Prince;Gary Trent Jr.;Jericho Sims;Cam Thomas;Pete Nance;Cole Anthony;Gary Harris;Amir Coffey;Andre Jackson Jr.;Thanasis Antetokounmpo;Mark Sears;Alex Antetokounmpo
2026,New Orleans Pelicans,Golden State Warriors,96,104,Saddiq Bey;Zion Williamson;Herbert Jones;Dejounte Murray;Josh Oduro;Jeremiah Fears;Derik Queen;Jordan Poole;Jose Alvarado;Bryce McGowens;Yves Missi;DeAndre Jordan;Micah Peavy;Karlo Matković;Kevon Looney;Jordan Hawkins;Trey Alexander;Hunter Dickinson,Stephen Curry;Brandin Podziemski;Draymond Green;Moses Moody;Jonathan Kuminga;Kristaps Porziņģis;De'Anthony Melton;Al Horford;Gui Santos;Charles Bassey;Will Richard;Pat Spencer;Buddy Hield;Quinten Post;Nate Williams;LJ Cryer;Gary Payton II;Seth Curry;Omer Yurtseven;Trayce Jackson-Davis;Malevy Leons
2026,Denver Nuggets,Phoenix Suns,130,112,Nikola Jokić;Christian Braun;Cameron Johnson;Peyton Watson;Aaron Gordon;Tim Hardaway Jr.;Bruce Brown;Spencer Jones;Jalen Pickett;Julian Strawther;David Roddy;Jonas Valančiūnas;Zeke Nnaji;Curtis Jones;Tyus Jones;DaRon Holmes;Hunter Tyson;KJ Simpson,Dillon Brooks;Grayson Allen;Collin Gillespie;Royce O'Neale;Jalen Green;Mark Williams;Jordan Goodwin;Oso Ighodaro;Ryan Dunn;Amir Coffey;Jamaree Bouyea;Haywood Highsmith;Rasheer Fleming;CJ Huntley;Isaiah Livers;Nick Richards;Khaman Maluach;Nigel Hayes-Davis;Koby Brea
2026,Dallas Mavericks,Los Angeles Clippers,114,110,Anthony Davis;P.J. Washington;Naji Marshall;Max Christie;Brandon Williams;Klay Thompson;Daniel Gafford;Marvin Bagley III;Khris Middleton;Ryan Nembhard;John Poulakidas;D'Angelo Russell;Tyus Jones;Dereck Lively II;Caleb Martin;Dwight Powell;Moussa Cisse;Tyler Smith;Jaden Hardy;Jeremiah Robinson-Earl;AJ Johnson;Miles Kelly,Kawhi Leonard;Ivica Zubac;Darius Garland;Bennedict Mathurin;Kris Dunn;John Collins;Derrick Jones Jr.;Jordan Miller;Brook Lopez;Bradley Beal;Kobe Sanders;Bogdan Bogdanović;Nicolas Batum;Isaiah Jackson;Chris Paul;Yanic Konan Niederhäuser;Cam Christie;Kobe Brown;Patrick Baldwin Jr.;TyTy Washington Jr.;Dalano Banton;Sean Pedulla;Norchad Omier;RayJ Dennis;Jahmyl Telfort
2026,Houston Rockets,Utah Jazz,129,101,Kevin Durant;Jabari Smith Jr.;Alperen Şengün;Reed Sheppard;Tari Eason;Steven Adams;Josh Okogie;Dorian Finney-Smith;Aaron Holiday;Clint Capela;Tristen Newton;Jae'Sean Tate;JD Davison;Isaiah Crawford;Jeff Green,Andersson Garcia;Keyonte George;Bez Mbeng;Kennedy Chandler;Walker Kessler;Ace Bailey;Jusuf Nurkić;John Konchar;Isaiah Collier;Hayden Gray;Cody Williams;Jaren Jackson Jr.;Brice Sensabaugh;Kyle Filipowski;Svi Mykhailiuk;Elijah Harkless;Blake Hinson;Kyle Anderson;Mo Bamba;Walter Clayton;Kevin Love;Oscar Tshiebwe;Taylor Hendricks;Vince Williams Jr.
2026,Boston Celtics,Cleveland Cavaliers,117,115,Derrick White;Jayson Tatum;Payton Pritchard;Neemias Queta;Sam Hauser;Anfernee Simons;Nikola Vučević;Baylor Scheierman;Jordan Walsh;Luka Garza;Josh Minott;Hugo González;Dalano Banton;Ron Harper Jr.;Chris Boucher;Xavier Tillman Sr.;John Tonje;Amari Williams;Charles Bassey;Max Shulga,Donovan Mitchell;Evan Mobley;Darius Garland;Jarrett Allen;Jaylon Tyson;Sam Merrill;De'Andre Hunter;Keon Ellis;Max Strus;Dean Wade;Dennis Schröder;Lonzo Ball;Craig Porter Jr.;Nae'Qwan Tomlin;Larry Nance Jr.;Thomas Bryant;Tyrese Proctor;Olivier Sarr;Tristan Enaruna;Luke Travers;Riley Minix;Chris Livingston;Darius Brown II
2026,Toronto Raptors,New York Knicks,94,116,Scottie Barnes;Immanuel Quickley;RJ Barrett;Jakob Poeltl;Jamal Shead;Collin Murray-Boyles;Sandro Mamukelashvili;Ja'Kobe Walter;Ochai Agbaji;Gradey Dick;A.J. Lawson;Jamison Battle;Markelle Fultz;Chucky Hepburn;Alijah Martin;Jonathan Mogbo;Trayce Jackson-Davis;Garrett Temple;Mo Bamba,OG Anunoby;Mikal Bridges;Karl-Anthony Towns;Josh Hart;Miles McBride;Landry Shamet;Mitchell Robinson;Jordan Clarkson;Jose Alvarado;Tyler Kolek;Mohamed Diawara;Ariel Hukporti;Guerschon Yabusele;Kevin McCullar Jr.;Jeremy Sochan;Trey Jemison;Dillon Jones;Pacôme Dadiet;Tosan Evbuomwan
2026,Atlanta Hawks,Philadelphia 76ers,142,134,Nickeil Alexander-Walker;Dyson Daniels;Onyeka Okongwu;CJ McCollum;Trae Young;Keshon Gilbert;Kristaps Porziņģis;Zaccharie Risacher;Vít Krejčí;Jonathan Kuminga;Luke Kennard;Jock Landale;Corey Kispert;Mouhamed Gueye;Gabe Vincent;Asa Newell;RayJ Dennis;Tony Bradley;Christian Koloko;Keaton Wallace;Buddy Hield;Caleb Houstan;N'Faly Dante;Jacob Toppin,VJ Edgecombe;Joel Embiid;Kelly Oubre Jr.;Paul George;Quentin Grimes;Dominick Barlow;Andre Drummond;Adem Bona;Cameron Payne;Jared McCain;Trendon Watford;Justin Edwards;MarJon Beauchamp;Dalen Terry;Eric Gordon;Jabari Walker;Tyrese Martin;Kyle Lowry;Johni Broome;Charles Bassey;Hunter Sallis;Patrick Baldwin Jr.
2026,Oklahoma City Thunder,Portland Trail Blazers,123,115,Chet Holmgren;Jalen Williams;Luguentz Dort;Cason Wallace;Ajay Mitchell;Isaiah Hartenstein;Aaron Wiggins;Isaiah Joe;Jaylin Williams;Alex Caruso;Jared McCain;Nikola Topić;Payton Sandfort;Kenrich Williams;Branden Carlson;Ousmane Dieng;Brooks Barnhizer;Chris Youngblood;Buddy Boeheim,Deni Avdija;Jerami Grant;Shaedon Sharpe;Jrue Holiday;Donovan Clingan;Scoot Henderson;Kris Murray;Caleb Love;Vít Krejčí;Sidy Cissoko;Robert Williams;Matisse Thybulle;Rayan Rupert;Blake Wesley;Duop Reath;Yang Hansen;Chris Youngblood;Javonte Cooke;Jayson Kent
2026,San Antonio Spurs,Minnesota Timberwolves,112,125,Devin Vassell;Stephon Castle;Victor Wembanyama;Julian Champagnie;Harrison Barnes;Keldon Johnson;Dylan Harper;Luke Kornet;Jeremy Sochan;Carter Bryant;Kelly Olynyk;Mason Plumlee;Lindy Waters III;Jordan McLaughlin;David Jones García;Bismack Biyombo;Harrison Ingram;Stanley Umude;Riley Minix,Julius Randle;Jaden McDaniels;Rudy Gobert;Donte DiVincenzo;Ayo Dosunmu;Naz Reid;Kyle Anderson;Mike Conley;Bones Hyland;Jaylen Clark;Terrence Shannon Jr.;Rob Dillingham;Enrique Freeman;Zyon Pullin;Joan Beringer;Julian Phillips;Rocco Zikarsky;Joe Ingles;Leonard Miller;Johnny Juzang
2026,Memphis Grizzlies,Sacramento Kings,115,107,Lucas Williamson;Rayan Rupert;Jaren Jackson Jr.;Dariq Whitehead;Adama-Alpha Bal;Ja Morant;Santi Aldama;Jaylen Wells;Zach Edey;Cedric Coward;Tyler Burton;Walter Clayton;Lawson Lovering;Taylor Hendricks;Cam Spencer;Jock Landale;Ty Jerome;Kyle Anderson;Jahmai Mashack;Vince Williams Jr.;GG Jackson II;Kentavious Caldwell-Pope;Scotty Pippen Jr.;DeJon Jarreau;Javon Small;Olivier-Maxence Prosper;Christian Koloko;Charles Bassey;John Konchar;Brandon Clarke;Taj Gibson;PJ Hall,Zach LaVine;DeMar DeRozan;Domantas Sabonis;Russell Westbrook;Maxime Raynaud;Daeqwon Plowden;Dennis Schröder;De'Andre Hunter;Nique Clifford;Precious Achiuwa;Malik Monk;Dylan Cardwell;DaQuan Jeffries;Devin Carter;Killian Hayes;Keon Ellis;Doug McDermott;Patrick Baldwin Jr.;Isaiah Stevens;Drew Eubanks;Dario Šarić;Isaac Jones
2026,New Orleans Pelicans,Los Angeles Lakers,121,133,Saddiq Bey;Zion Williamson;Herbert Jones;Dejounte Murray;Josh Oduro;Jeremiah Fears;Derik Queen;Jordan Poole;Jose Alvarado;Bryce McGowens;Yves Missi;DeAndre Jordan;Micah Peavy;Karlo Matković;Kevon Looney;Jordan Hawkins;Trey Alexander;Hunter Dickinson,Austin Reaves;LeBron James;Marcus Smart;Rui Hachimura;Deandre Ayton;Jake LaRavia;Luke Kennard;Gabe Vincent;Jaxson Hayes;Jarred Vanderbilt;Nick Smith Jr.;Maxi Kleber;Dalton Knecht;Bronny James;Drew Timme;Kobe Bufkin;Adou Thiero;Chris Mañon;Christian Koloko
2026,Atlanta Hawks,Detroit Pistons,98,99,Nickeil Alexander-Walker;Dyson Daniels;Onyeka Okongwu;CJ McCollum;Trae Young;Keshon Gilbert;Kristaps Porziņģis;Zaccharie Risacher;Vít Krejčí;Jonathan Kuminga;Luke Kennard;Jock Landale;Corey Kispert;Mouhamed Gueye;Gabe Vincent;Asa Newell;RayJ Dennis;Tony Bradley;Christian Koloko;Keaton Wallace;Buddy Hield;Caleb Houstan;N'Faly Dante;Jacob Toppin,Jalen Duren;Tobias Harris;Duncan Robinson;Ausar Thompson;Isaiah Stewart;Kevin Huerter;Daniss Jenkins;Ron Holland;Caris LeVert;Javonte Green;Jaden Ivey;Paul Reed;Marcus Sasser;Wendell Moore Jr.;Tolu Smith;Chaz Lanier;Colby Jones;Bobi Klintman;Isaac Jones
2026,Cleveland Cavaliers,Indiana Pacers,135,119,Donovan Mitchell;Evan Mobley;Darius Garland;Jarrett Allen;Jaylon Tyson;Sam Merrill;De'Andre Hunter;Keon Ellis;Max Strus;Dean Wade;Dennis Schröder;Lonzo Ball;Craig Porter Jr.;Nae'Qwan Tomlin;Larry Nance Jr.;Thomas Bryant;Tyrese Proctor;Olivier Sarr;Tristan Enaruna;Luke Travers;Riley Minix;Chris Livingston;Darius Brown II,Bennedict Mathurin;Andrew Nembhard;Aaron Nesmith;Jarace Walker;Kobe Brown;Jalen Slawson;Ivica Zubac;Ben Sheppard;Jay Huff;Ethan Thompson;Micah Potter;Johnny Furphy;Quenton Jackson;Obi Toppin;Jeremiah Robinson-Earl;T.J. McConnell;Isaiah Jackson;Kam Jones;James Wiseman;Cody Martin;Garrison Mathews;Taelon Peter;RayJ Dennis;Mac McClung;Tony Bradley;Monte Morris
2026,Milwaukee Bucks,Washington Wizards,126,129,Ryan Rollins;A.J. Green;Giannis Antetokounmpo;Myles Turner;Ousmane Dieng;Kyle Kuzma;Cormac Ryan;Bobby Portis;Taurean Prince;Gary Trent Jr.;Jericho Sims;Cam Thomas;Pete Nance;Cole Anthony;Gary Harris;Amir Coffey;Andre Jackson Jr.;Thanasis Antetokounmpo;Mark Sears;Alex Antetokounmpo,CJ McCollum;Kyshawn George;Leaky Black;Bub Carrington;Alex Sarr;Bilal Coulibaly;Alondes Williams;Khris Middleton;Tre Johnson;Kadary Richmond;Will Riley;Trae Young;Jamir Watkins;Jaden Hardy;Justin Champagnie;Corey Kispert;Marvin Bagley III;Anthony Gill;Sharife Cooper;Cam Whitmore;Keshon Gilbert;Tristan Vukcevic;Skal Labissière;Malaki Branham;AJ Johnson
2026,Charlotte Hornets,Brooklyn Nets,103,116,Miles Bridges;Brandon Miller;LaMelo Ball;Moussa Diabaté;Sion James;Collin Sexton;Ryan Kalkbrenner;Grant Williams;Coby White;KJ Simpson;Josh Green;PJ Hall;Tidjane Salaün;Tre Mann;Liam McNeeley;Drew Peterson;Mason Plumlee;Pat Connaughton;Antonio Reeves;Xavier Tillman Sr.,Tre Scott;Nic Claxton;Noah Clowney;Egor Dёmin;Terance Mann;Cam Thomas;Malachi Smith;Ziaire Williams;Nolan Traoré;Drake Powell;Danny Wolf;Ben Saraf;Chaney Johnson;Josh Minott;Tyrese Martin;Day'Ron Sharpe;Ochai Agbaji;Jalen Wilson;Tyson Etienne;E.J. Liddell;Grant Nelson
2026,Los Angeles Clippers,Miami Heat,123,140,Kawhi Leonard;Ivica Zubac;Darius Garland;Bennedict Mathurin;Kris Dunn;John Collins;Derrick Jones Jr.;Jordan Miller;Brook Lopez;Bradley Beal;Kobe Sanders;Bogdan Bogdanović;Nicolas Batum;Isaiah Jackson;Chris Paul;Yanic Konan Niederhäuser;Cam Christie;Kobe Brown;Patrick Baldwin Jr.;TyTy Washington Jr.;Dalano Banton;Sean Pedulla;Norchad Omier;RayJ Dennis;Jahmyl Telfort,Tyler Herro;Andrew Wiggins;Norman Powell;Davion Mitchell;Jaime Jaquez Jr.;Pelle Larsson;Kel'el Ware;Kasparas Jakučionis;Nikola Jović;Simone Fontecchio;Dru Smith;Myron Gardner;Keshad Johnson;Jahmir Young;Vladislav Goldin;Trevor Keels
2026,Chicago Bulls,Orlando Magic,120,125,Nikola Vučević;Matas Buzelis;Coby White;Jaden Ivey;Anfernee Simons;Tre Jones;Isaac Okoro;Ayo Dosunmu;Collin Sexton;Guerschon Yabusele;Kevin Huerter;Leonard Miller;Mouhamadou Gueye;Nick Richards;Rob Dillingham;Jalen Smith;Patrick Williams;Zach Collins;Mac McClung;Yuki Kawamura;Dalen Terry;Jevon Carter;Julian Phillips;Lachlan Olbrich;Emanuel Miller;Trentyn Flowers;Noa Essengue,Desmond Bane;Franz Wagner;Anthony Black;Wendell Carter Jr.;Jalen Suggs;Tristan Da Silva;Jevon Carter;Tyus Jones;Goga Bitadze;Noah Penda;Jett Howard;Jamal Cain;Moritz Wagner;Jase Richardson;Jonathan Isaac;Orlando Robinson;Alex Morales;Colin Castleton
2026,Dallas Mavericks,Denver Nuggets,131,121,Anthony Davis;P.J. Washington;Naji Marshall;Max Christie;Brandon Williams;Klay Thompson;Daniel Gafford;Marvin Bagley III;Khris Middleton;Ryan Nembhard;John Poulakidas;D'Angelo Russell;Tyus Jones;Dereck Lively II;Caleb Martin;Dwight Powell;Moussa Cisse;Tyler Smith;Jaden Hardy;Jeremiah Robinson-Earl;AJ Johnson;Miles Kelly,Nikola Jokić;Christian Braun;Cameron Johnson;Peyton Watson;Aaron Gordon;Tim Hardaway Jr.;Bruce Brown;Spencer Jones;Jalen Pickett;Julian Strawther;David Roddy;Jonas Valančiūnas;Zeke Nnaji;Curtis Jones;Tyus Jones;DaRon Holmes;Hunter Tyson;KJ Simpson
2026,Houston Rockets,Utah Jazz,125,133,Kevin Durant;Jabari Smith Jr.;Alperen Şengün;Reed Sheppard;Tari Eason;Steven Adams;Josh Okogie;Dorian Finney-Smith;Aaron Holiday;Clint Capela;Tristen Newton;Jae'Sean Tate;JD Davison;Isaiah Crawford;Jeff Green,Andersson Garcia;Keyonte George;Bez Mbeng;Kennedy Chandler;Walker Kessler;Ace Bailey;Jusuf Nurkić;John Konchar;Isaiah Collier;Hayden Gray;Cody Williams;Jaren Jackson Jr.;Brice Sensabaugh;Kyle Filipowski;Svi Mykhailiuk;Elijah Harkless;Blake Hinson;Kyle Anderson;Mo Bamba;Walter Clayton;Kevin Love;Oscar Tshiebwe;Taylor Hendricks;Vince Williams Jr.
2026,Phoenix Suns,Los Angeles Lakers,125,108,Dillon Brooks;Grayson Allen;Collin Gillespie;Royce O'Neale;Jalen Green;Mark Williams;Jordan Goodwin;Oso Ighodaro;Ryan Dunn;Amir Coffey;Jamaree Bouyea;Haywood Highsmith;Rasheer Fleming;CJ Huntley;Isaiah Livers;Nick Richards;Khaman Maluach;Nigel Hayes-Davis;Koby Brea,Austin Reaves;LeBron James;Marcus Smart;Rui Hachimura;Deandre Ayton;Jake LaRavia;Luke Kennard;Gabe Vincent;Jaxson Hayes;Jarred Vanderbilt;Nick Smith Jr.;Maxi Kleber;Dalton Knecht;Bronny James;Drew Timme;Kobe Bufkin;Adou Thiero;Chris Mañon;Christian Koloko
2026,Washington Wizards,Philadelphia 76ers,102,121,CJ McCollum;Kyshawn George;Leaky Black;Bub Carrington;Alex Sarr;Bilal Coulibaly;Alondes Williams;Khris Middleton;Tre Johnson;Kadary Richmond;Will Riley;Trae Young;Jamir Watkins;Jaden Hardy;Justin Champagnie;Corey Kispert;Marvin Bagley III;Anthony Gill;Sharife Cooper;Cam Whitmore;Keshon Gilbert;Tristan Vukcevic;Skal Labissière;Malaki Branham;AJ Johnson,VJ Edgecombe;Joel Embiid;Kelly Oubre Jr.;Paul George;Quentin Grimes;Dominick Barlow;Andre Drummond;Adem Bona;Cameron Payne;Jared McCain;Trendon Watford;Justin Edwards;MarJon Beauchamp;Dalen Terry;Eric Gordon;Jabari Walker;Tyrese Martin;Kyle Lowry;Johni Broome;Charles Bassey;Hunter Sallis;Patrick Baldwin Jr.
2026,Portland Trail Blazers,Toronto Raptors,118,121,Deni Avdija;Jerami Grant;Shaedon Sharpe;Jrue Holiday;Donovan Clingan;Scoot Henderson;Kris Murray;Caleb Love;Vít Krejčí;Sidy Cissoko;Robert Williams;Matisse Thybulle;Rayan Rupert;Blake Wesley;Duop Reath;Yang Hansen;Chris Youngblood;Javonte Cooke;Jayson Kent,Scottie Barnes;Immanuel Quickley;RJ Barrett;Jakob Poeltl;Jamal Shead;Collin Murray-Boyles;Sandro Mamukelashvili;Ja'Kobe Walter;Ochai Agbaji;Gradey Dick;A.J. Lawson;Jamison Battle;Markelle Fultz;Chucky Hepburn;Alijah Martin;Jonathan Mogbo;Trayce Jackson-Davis;Garrett Temple;Mo Bamba
2026,New York Knicks,Boston Celtics,117,123,OG Anunoby;Mikal Bridges;Karl-Anthony Towns;Josh Hart;Miles McBride;Landry Shamet;Mitchell Robinson;Jordan Clarkson;Jose Alvarado;Tyler Kolek;Mohamed Diawara;Ariel Hukporti;Guerschon Yabusele;Kevin McCullar Jr.;Jeremy Sochan;Trey Jemison;Dillon Jones;Pacôme Dadiet;Tosan Evbuomwan,Derrick White;Jayson Tatum;Payton Pritchard;Neemias Queta;Sam Hauser;Anfernee Simons;Nikola Vučević;Baylor Scheierman;Jordan Walsh;Luka Garza;Josh Minott;Hugo González;Dalano Banton;Ron Harper Jr.;Chris Boucher;Xavier Tillman Sr.;John Tonje;Amari Williams;Charles Bassey;Max Shulga
2026,Minnesota Timberwolves,New Orleans Pelicans,149,142,Julius Randle;Jaden McDaniels;Rudy Gobert;Donte DiVincenzo;Ayo Dosunmu;Naz Reid;Kyle Anderson;Mike Conley;Bones Hyland;Jaylen Clark;Terrence Shannon Jr.;Rob Dillingham;Enrique Freeman;Zyon Pullin;Joan Beringer;Julian Phillips;Rocco Zikarsky;Joe Ingles;Leonard Miller;Johnny Juzang,Saddiq Bey;Zion Williamson;Herbert Jones;Dejounte Murray;Josh Oduro;Jeremiah Fears;Derik Queen;Jordan Poole;Jose Alvarado;Bryce McGowens;Yves Missi;DeAndre Jordan;Micah Peavy;Karlo Matković;Kevon Looney;Jordan Hawkins;Trey Alexander;Hunter Dickinson
2026,Memphis Grizzlies,San Antonio Spurs,119,126,Lucas Williamson;Rayan Rupert;Jaren Jackson Jr.;Dariq Whitehead;Adama-Alpha Bal;Ja Morant;Santi Aldama;Jaylen Wells;Zach Edey;Cedric Coward;Tyler Burton;Walter Clayton;Lawson Lovering;Taylor Hendricks;Cam Spencer;Jock Landale;Ty Jerome;Kyle Anderson;Jahmai Mashack;Vince Williams Jr.;GG Jackson II;Kentavious Caldwell-Pope;Scotty Pippen Jr.;DeJon Jarreau;Javon Small;Olivier-Maxence Prosper;Christian Koloko;Charles Bassey;John Konchar;Brandon Clarke;Taj Gibson;PJ Hall,Devin Vassell;Stephon Castle;Victor Wembanyama;Julian Champagnie;Harrison Barnes;Keldon Johnson;Dylan Harper;Luke Kornet;Jeremy Sochan;Carter Bryant;Kelly Olynyk;Mason Plumlee;Lindy Waters III;Jordan McLaughlin;David Jones García;Bismack Biyombo;Harrison Ingram;Stanley Umude;Riley Minix
2026,Oklahoma City Thunder,Golden State Warriors,124,112,Chet Holmgren;Jalen Williams;Luguentz Dort;Cason Wallace;Ajay Mitchell;Isaiah Hartenstein;Aaron Wiggins;Isaiah Joe;Jaylin Williams;Alex Caruso;Jared McCain;Nikola Topić;Payton Sandfort;Kenrich Williams;Branden Carlson;Ousmane Dieng;Brooks Barnhizer;Chris Youngblood;Buddy Boeheim,Stephen Curry;Brandin Podziemski;Draymond Green;Moses Moody;Jonathan Kuminga;Kristaps Porziņģis;De'Anthony Melton;Al Horford;Gui Santos;Charles Bassey;Will Richard;Pat Spencer;Buddy Hield;Quinten Post;Nate Williams;LJ Cryer;Gary Payton II;Seth Curry;Omer Yurtseven;Trayce Jackson-Davis;Malevy Leons
2026,Portland Trail Blazers,Cleveland Cavaliers,122,110,Deni Avdija;Jerami Grant;Shaedon Sharpe;Jrue Holiday;Donovan Clingan;Scoot Henderson;Kris Murray;Caleb Love;Vít Krejčí;Sidy Cissoko;Robert Williams;Matisse Thybulle;Rayan Rupert;Blake Wesley;Duop Reath;Yang Hansen;Chris Youngblood;Javonte Cooke;Jayson Kent,Donovan Mitchell;Evan Mobley;Darius Garland;Jarrett Allen;Jaylon Tyson;Sam Merrill;De'Andre Hunter;Keon Ellis;Max Strus;Dean Wade;Dennis Schröder;Lonzo Ball;Craig Porter Jr.;Nae'Qwan Tomlin;Larry Nance Jr.;Thomas Bryant;Tyrese Proctor;Olivier Sarr;Tristan Enaruna;Luke Travers;Riley Minix;Chris Livingston;Darius Brown II
